nowcast_date,y_true,y_pred,alpha_selected
2005-02-28,4.413020211694629,4.07971,62.10169418915616
2005-05-31,1.965660123449453,2.6212487,62.10169418915616
2005-08-31,3.1230326804525532,3.9873517,41.753189365604044
2005-11-30,2.215916948830454,3.0583646,62.10169418915616
2006-02-28,5.345655379085201,2.237256,62.10169418915616
2006-05-31,1.0336742995598058,3.1608481,62.10169418915616
2006-08-31,0.5993744160321057,2.0676606,62.10169418915616
2006-11-30,3.423110226166415,2.4297614,62.10169418915616
2007-02-28,1.2015362468524415,2.497815,62.10169418915616
2007-05-31,2.439593165872367,2.7834618,62.10169418915616
2007-08-31,2.2974924437228594,0.60816276,62.10169418915616
2007-11-30,2.5050862048779265,2.1266627,62.10169418915616
2008-02-29,-1.7107102360128579,0.4002173,41.753189365604044
2008-05-31,2.3746503725263324,1.2622056,41.753189365604044
2008-08-31,-2.1065695211134994,-0.18152595,28.072162039411786
2008-11-30,-8.853365095794175,-3.6919734,28.072162039411786
2009-02-28,-4.565452543960902,-1.5441858,18.873918221350976
2009-05-31,-0.715242887051204,0.25678623,18.873918221350976
2009-08-31,1.402308618855841,0.8390082,18.873918221350976
2009-11-30,4.300454151697863,0.95049655,18.873918221350976
2010-02-28,1.933324088271604,-0.008400917,28.072162039411786
2010-05-31,3.8517399290434184,2.869522,28.072162039411786
2010-08-31,3.072509082001318,1.4097117,28.072162039411786
2010-11-30,2.094945457780284,2.5425837,28.072162039411786
2011-02-28,-0.9499466944198787,3.478876,28.072162039411786
2011-05-31,2.697214987466623,1.7085485,28.072162039411786
2011-08-31,-0.0892609023139812,1.1097286,28.072162039411786
2011-11-30,4.467158724585829,3.1191092,28.072162039411786
2012-02-29,3.340376727516059,2.7335255,41.753189365604044
2012-05-31,1.7813665065290252,1.5120546,28.072162039411786
2012-08-31,0.5756975059448166,2.4570365,28.072162039411786
2012-11-30,0.46229496630019185,1.1684095,28.072162039411786
2013-02-28,3.926903706206275,4.9914665,28.072162039411786
2013-05-31,1.0691153060548686,4.0669265,41.753189365604044
2013-08-31,3.3911586209988798,3.2111285,62.10169418915616
2013-11-30,3.47185609530527,5.226982,41.753189365604044
2014-02-28,-1.3827712598640574,2.6206124,62.10169418915616
2014-05-31,5.1342760916597285,2.572827,62.10169418915616
2014-08-31,4.832259330312638,0.87198627,62.10169418915616
2014-11-30,2.0178344061733355,2.5097585,62.10169418915616
2015-02-28,3.5858191507699644,3.2381804,62.10169418915616
2015-05-31,2.469978633014591,3.1839356,62.10169418915616
2015-08-31,1.5977848462760846,1.9269547,62.10169418915616
2015-11-30,0.7372366908420247,1.9400096,62.10169418915616
2016-02-29,2.311386607388499,2.339349,92.36708571873865
2016-05-31,1.2824382650691746,2.2229893,62.10169418915616
2016-08-31,2.827543676441735,2.5371146,62.10169418915616
2016-11-30,2.2110741144842905,2.1525729,41.753189365604044
2017-02-28,1.9428349324144278,2.762125,41.753189365604044
2017-05-31,2.233244405191215,1.9518976,41.753189365604044
2017-08-31,3.141726102739284,2.6408367,41.753189365604044
2017-11-30,4.48297110775755,3.2744184,41.753189365604044
2018-02-28,3.2404778196678308,3.7064214,41.753189365604044
2018-05-31,2.11768492150739,2.1347463,41.753189365604044
2018-08-31,2.487041930090328,2.423464,41.753189365604044
2018-11-30,0.5661759932735322,1.4431791,41.753189365604044
2019-02-28,2.4895091629069555,3.0609434,41.753189365604044
2019-05-31,3.326711173158259,1.2544647,41.753189365604044
2019-08-31,4.6528410323638525,1.9610075,41.753189365604044
2019-11-30,2.7182543872214637,2.2348495,62.10169418915616
2020-02-29,-5.300247883186415,2.1685505,41.753189365604044
2020-05-31,-32.81728241610793,25.318623,62.10169418915616
2020-08-31,29.902998544979198,-1.8887019,1000.0
2020-11-30,4.508555862817332,2.1333919,1000.0
2021-02-28,5.544658613895592,2.635116,1000.0
2021-05-31,6.750285416705282,2.438403,1000.0
2021-08-31,3.2866716567674814,2.3216393,1000.0
2021-11-30,6.804809235885756,2.1611495,1000.0
2022-02-28,-1.0204951651815009,2.2376528,1000.0
2022-05-31,0.6256983803410776,2.3521419,1000.0
2022-08-31,2.877225330117028,2.2825196,1000.0
2022-11-30,2.7514765401292607,3.0222235,1000.0
2023-02-28,2.884974679699326,2.5699196,1000.0
2023-05-31,2.503636219206129,2.4849136,1000.0
2023-08-31,4.5880109584366835,2.1272726,1000.0
2023-11-30,3.3620596105876643,2.1314688,1000.0
2024-02-29,0.8385657658578793,2.0477414,1000.0
2024-05-31,3.5263554170946065,2.2180204,1000.0
2024-08-31,3.2855812596196188,2.3476272,1000.0
2024-11-30,1.8352819713321367,2.0263855,1000.0
