step,nowcast_date,epoch,train_loss
20,2005-02-28,1,57.82737636566162
20,2005-02-28,2,57.03676795959473
20,2005-02-28,3,37.848938941955566
20,2005-02-28,4,31.70438575744629
20,2005-02-28,5,19.127460479736328
20,2005-02-28,6,14.109868049621582
20,2005-02-28,7,16.13344097137451
20,2005-02-28,8,10.103020191192627
20,2005-02-28,9,11.340248107910156
20,2005-02-28,10,6.876459121704102
20,2005-02-28,11,6.880087614059448
20,2005-02-28,12,6.402601718902588
20,2005-02-28,13,4.689742565155029
20,2005-02-28,14,2.8624476194381714
20,2005-02-28,15,3.176118016242981
20,2005-02-28,16,1.4852015376091003
20,2005-02-28,17,1.6062048077583313
20,2005-02-28,18,1.7331543564796448
20,2005-02-28,19,1.630245864391327
20,2005-02-28,20,0.7163469195365906
20,2005-02-28,21,0.7773534059524536
20,2005-02-28,22,0.6837473213672638
20,2005-02-28,23,0.6244147717952728
20,2005-02-28,24,0.4874989315867424
20,2005-02-28,25,1.1676804423332214
20,2005-02-28,26,0.7667596638202667
20,2005-02-28,27,0.4142804704606533
20,2005-02-28,28,1.1124008297920227
20,2005-02-28,29,1.4443985223770142
20,2005-02-28,30,1.5389104783535004
20,2005-02-28,31,1.120810091495514
20,2005-02-28,32,0.7409413456916809
20,2005-02-28,33,0.7454180121421814
20,2005-02-28,34,0.6455259323120117
20,2005-02-28,35,0.44181962311267853
20,2005-02-28,36,0.43310919404029846
20,2005-02-28,37,0.706584632396698
20,2005-02-28,38,0.4475718252360821
20,2005-02-28,39,0.6075125932693481
20,2005-02-28,40,0.2870943695306778
20,2005-02-28,41,0.449599951505661
20,2005-02-28,42,1.0712172985076904
20,2005-02-28,43,0.37354550138115883
20,2005-02-28,44,0.6290672123432159
20,2005-02-28,45,1.1790574342012405
20,2005-02-28,46,1.337187945842743
20,2005-02-28,47,0.49696866422891617
20,2005-02-28,48,0.19890882819890976
20,2005-02-28,49,0.32397912442684174
20,2005-02-28,50,0.48771585524082184
21,2005-05-31,1,104.85504913330078
21,2005-05-31,2,69.12875556945801
21,2005-05-31,3,90.06900787353516
21,2005-05-31,4,76.23074150085449
21,2005-05-31,5,52.49585151672363
21,2005-05-31,6,36.33934211730957
21,2005-05-31,7,48.2338924407959
21,2005-05-31,8,27.31759738922119
21,2005-05-31,9,24.644174575805664
21,2005-05-31,10,22.75200366973877
21,2005-05-31,11,16.44879674911499
21,2005-05-31,12,10.479756832122803
21,2005-05-31,13,8.897216558456421
21,2005-05-31,14,11.424071311950684
21,2005-05-31,15,6.691549301147461
21,2005-05-31,16,6.877832889556885
21,2005-05-31,17,5.579277515411377
21,2005-05-31,18,4.728440284729004
21,2005-05-31,19,6.148135662078857
21,2005-05-31,20,4.584657073020935
21,2005-05-31,21,2.267853409051895
21,2005-05-31,22,2.1159766912460327
21,2005-05-31,23,2.023210048675537
21,2005-05-31,24,2.00086709856987
21,2005-05-31,25,1.4565393328666687
21,2005-05-31,26,1.06983083486557
21,2005-05-31,27,0.9085165858268738
21,2005-05-31,28,0.5752280224114656
21,2005-05-31,29,0.6992197334766388
21,2005-05-31,30,0.5285971164703369
21,2005-05-31,31,0.4730379730463028
21,2005-05-31,32,0.3271786570549011
21,2005-05-31,33,0.22611922770738602
21,2005-05-31,34,0.1857990175485611
21,2005-05-31,35,0.24931706488132477
21,2005-05-31,36,0.11957248859107494
21,2005-05-31,37,0.16993523761630058
21,2005-05-31,38,0.1237880252301693
21,2005-05-31,39,0.10156296193599701
21,2005-05-31,40,0.11668119952082634
21,2005-05-31,41,0.08827198669314384
21,2005-05-31,42,0.11106552556157112
21,2005-05-31,43,0.16525357216596603
21,2005-05-31,44,0.09733967669308186
21,2005-05-31,45,0.05266009271144867
21,2005-05-31,46,0.12513143196702003
21,2005-05-31,47,0.10715113207697868
21,2005-05-31,48,0.07676900923252106
21,2005-05-31,49,0.04705859813839197
21,2005-05-31,50,0.08888278156518936
22,2005-08-31,1,47.703229904174805
22,2005-08-31,2,32.94028282165527
22,2005-08-31,3,25.969307899475098
22,2005-08-31,4,17.539523601531982
22,2005-08-31,5,19.295580863952637
22,2005-08-31,6,14.72508430480957
22,2005-08-31,7,8.666405200958252
22,2005-08-31,8,6.317561864852905
22,2005-08-31,9,5.0663405656814575
22,2005-08-31,10,4.83159601688385
22,2005-08-31,11,2.919142007827759
22,2005-08-31,12,3.114880681037903
22,2005-08-31,13,3.399360179901123
22,2005-08-31,14,2.935665249824524
22,2005-08-31,15,2.1125030517578125
22,2005-08-31,16,1.5214372873306274
22,2005-08-31,17,0.9129790104925632
22,2005-08-31,18,1.0902647078037262
22,2005-08-31,19,1.3974737524986267
22,2005-08-31,20,1.0694580972194672
22,2005-08-31,21,1.0356565415859222
22,2005-08-31,22,0.7258357405662537
22,2005-08-31,23,0.6312377154827118
22,2005-08-31,24,0.4847600758075714
22,2005-08-31,25,0.3504559025168419
22,2005-08-31,26,0.2828008681535721
22,2005-08-31,27,0.19183771312236786
22,2005-08-31,28,0.20509815216064453
22,2005-08-31,29,0.19922442361712456
22,2005-08-31,30,0.34029535949230194
22,2005-08-31,31,0.33877022564411163
22,2005-08-31,32,0.2943951040506363
22,2005-08-31,33,0.22517240047454834
22,2005-08-31,34,0.2616093009710312
22,2005-08-31,35,0.3503834754228592
22,2005-08-31,36,0.2898077368736267
22,2005-08-31,37,0.16663189232349396
22,2005-08-31,38,0.22371788322925568
22,2005-08-31,39,0.2890215218067169
22,2005-08-31,40,0.23243151605129242
22,2005-08-31,41,0.1625981107354164
22,2005-08-31,42,0.3547621816396713
22,2005-08-31,43,0.3548557162284851
22,2005-08-31,44,0.2766761854290962
22,2005-08-31,45,0.1575903445482254
22,2005-08-31,46,0.10966646298766136
22,2005-08-31,47,0.14536380022764206
22,2005-08-31,48,0.3015283867716789
22,2005-08-31,49,0.23750422149896622
22,2005-08-31,50,0.29959769546985626
23,2005-11-30,1,141.93331909179688
23,2005-11-30,2,119.44728469848633
23,2005-11-30,3,124.92985916137695
23,2005-11-30,4,88.67534255981445
23,2005-11-30,5,87.17177200317383
23,2005-11-30,6,61.773189544677734
23,2005-11-30,7,46.988399028778076
23,2005-11-30,8,40.468801975250244
23,2005-11-30,9,46.39566993713379
23,2005-11-30,10,36.66883563995361
23,2005-11-30,11,24.45940399169922
23,2005-11-30,12,23.055212020874023
23,2005-11-30,13,15.32572317123413
23,2005-11-30,14,10.892984390258789
23,2005-11-30,15,8.943138599395752
23,2005-11-30,16,5.791261911392212
23,2005-11-30,17,4.814622640609741
23,2005-11-30,18,4.599139213562012
23,2005-11-30,19,3.7000021934509277
23,2005-11-30,20,2.6632975339889526
23,2005-11-30,21,2.222834587097168
23,2005-11-30,22,1.9538098573684692
23,2005-11-30,23,1.2122162580490112
23,2005-11-30,24,0.8518089354038239
23,2005-11-30,25,0.8487323522567749
23,2005-11-30,26,0.9750335514545441
23,2005-11-30,27,0.6711191982030869
23,2005-11-30,28,0.5982418358325958
23,2005-11-30,29,0.7499418407678604
23,2005-11-30,30,0.3107386603951454
23,2005-11-30,31,0.18308884650468826
23,2005-11-30,32,0.1391897201538086
23,2005-11-30,33,0.16561133414506912
23,2005-11-30,34,0.20014721900224686
23,2005-11-30,35,0.11854150891304016
23,2005-11-30,36,0.17359043285250664
23,2005-11-30,37,0.398473858833313
23,2005-11-30,38,0.32107144594192505
23,2005-11-30,39,0.2045341432094574
23,2005-11-30,40,0.19200865924358368
23,2005-11-30,41,0.3112567067146301
23,2005-11-30,42,0.3098444491624832
23,2005-11-30,43,0.21532917022705078
23,2005-11-30,44,0.20268960297107697
23,2005-11-30,45,0.13090943172574043
23,2005-11-30,46,0.17891548201441765
23,2005-11-30,47,0.20034600049257278
23,2005-11-30,48,0.09601063281297684
23,2005-11-30,49,0.13766023516654968
23,2005-11-30,50,0.11203965917229652
24,2006-02-28,1,90.56672096252441
24,2006-02-28,2,81.89474487304688
24,2006-02-28,3,92.53294563293457
24,2006-02-28,4,75.36240577697754
24,2006-02-28,5,50.111440658569336
24,2006-02-28,6,60.37291145324707
24,2006-02-28,7,34.55335521697998
24,2006-02-28,8,26.838932037353516
24,2006-02-28,9,17.38019561767578
24,2006-02-28,10,12.551111698150635
24,2006-02-28,11,10.854022979736328
24,2006-02-28,12,10.756211280822754
24,2006-02-28,13,7.484773635864258
24,2006-02-28,14,7.903972387313843
24,2006-02-28,15,6.720078229904175
24,2006-02-28,16,6.707868337631226
24,2006-02-28,17,5.220301389694214
24,2006-02-28,18,3.5979329347610474
24,2006-02-28,19,2.8419829607009888
24,2006-02-28,20,3.911043405532837
24,2006-02-28,21,3.6227198243141174
24,2006-02-28,22,4.88492488861084
24,2006-02-28,23,3.3708221912384033
24,2006-02-28,24,3.27633273601532
24,2006-02-28,25,2.7628211975097656
24,2006-02-28,26,2.7581177949905396
24,2006-02-28,27,2.0662620067596436
24,2006-02-28,28,1.974412202835083
24,2006-02-28,29,1.615715205669403
24,2006-02-28,30,1.8600516319274902
24,2006-02-28,31,1.849697232246399
24,2006-02-28,32,1.5327617526054382
24,2006-02-28,33,1.0721760392189026
24,2006-02-28,34,0.9405591636896133
24,2006-02-28,35,1.0886543989181519
24,2006-02-28,36,0.9129717648029327
24,2006-02-28,37,0.9238325655460358
24,2006-02-28,38,0.7314399182796478
24,2006-02-28,39,0.4317566603422165
24,2006-02-28,40,0.3287932574748993
24,2006-02-28,41,0.45658212900161743
24,2006-02-28,42,0.5749560594558716
24,2006-02-28,43,0.51943539083004
24,2006-02-28,44,1.1740826666355133
24,2006-02-28,45,1.1546034663915634
24,2006-02-28,46,1.3915432393550873
24,2006-02-28,47,2.1628333926200867
24,2006-02-28,48,2.601969361305237
24,2006-02-28,49,2.9557330906391144
24,2006-02-28,50,1.6042812764644623
25,2006-05-31,1,34.130478858947754
25,2006-05-31,2,35.96313285827637
25,2006-05-31,3,22.192850589752197
25,2006-05-31,4,18.073040008544922
25,2006-05-31,5,11.786859512329102
25,2006-05-31,6,8.519118547439575
25,2006-05-31,7,6.013262987136841
25,2006-05-31,8,3.5707931518554688
25,2006-05-31,9,3.527254343032837
25,2006-05-31,10,3.009049892425537
25,2006-05-31,11,2.4826077818870544
25,2006-05-31,12,3.1209319829940796
25,2006-05-31,13,3.076744794845581
25,2006-05-31,14,2.1856032013893127
25,2006-05-31,15,1.7773586809635162
25,2006-05-31,16,1.4711576700210571
25,2006-05-31,17,1.2165397107601166
25,2006-05-31,18,1.116862952709198
25,2006-05-31,19,1.0109647512435913
25,2006-05-31,20,1.3390916883945465
25,2006-05-31,21,1.1581736207008362
25,2006-05-31,22,0.9096484482288361
25,2006-05-31,23,0.844541072845459
25,2006-05-31,24,0.7446068525314331
25,2006-05-31,25,0.5737502723932266
25,2006-05-31,26,0.515459880232811
25,2006-05-31,27,0.5070377141237259
25,2006-05-31,28,0.43019966781139374
25,2006-05-31,29,0.3858983963727951
25,2006-05-31,30,0.3173910975456238
25,2006-05-31,31,0.48153071105480194
25,2006-05-31,32,0.49931664764881134
25,2006-05-31,33,0.3914538323879242
25,2006-05-31,34,0.4302935153245926
25,2006-05-31,35,0.43276212364435196
25,2006-05-31,36,0.18813126906752586
25,2006-05-31,37,0.2691297009587288
25,2006-05-31,38,0.36971762776374817
25,2006-05-31,39,0.2647751569747925
25,2006-05-31,40,0.32866713404655457
25,2006-05-31,41,0.2411704808473587
25,2006-05-31,42,0.14642130583524704
25,2006-05-31,43,0.18140801414847374
25,2006-05-31,44,0.1819969043135643
25,2006-05-31,45,0.298024944961071
25,2006-05-31,46,0.3455616906285286
25,2006-05-31,47,0.1585676372051239
25,2006-05-31,48,0.19015344232320786
25,2006-05-31,49,0.18964453041553497
25,2006-05-31,50,0.1493077352643013
26,2006-08-31,1,61.48186111450195
26,2006-08-31,2,35.412842750549316
26,2006-08-31,3,20.894939422607422
26,2006-08-31,4,11.539025783538818
26,2006-08-31,5,7.070265769958496
26,2006-08-31,6,6.07480525970459
26,2006-08-31,7,5.99774432182312
26,2006-08-31,8,5.205921173095703
26,2006-08-31,9,4.113873481750488
26,2006-08-31,10,3.032044768333435
26,2006-08-31,11,2.7528791427612305
26,2006-08-31,12,2.7648945450782776
26,2006-08-31,13,2.204336702823639
26,2006-08-31,14,2.214465856552124
26,2006-08-31,15,2.246007263660431
26,2006-08-31,16,1.8571590185165405
26,2006-08-31,17,1.6045384407043457
26,2006-08-31,18,1.3500147759914398
26,2006-08-31,19,1.3756356835365295
26,2006-08-31,20,1.2048241794109344
26,2006-08-31,21,1.1506376266479492
26,2006-08-31,22,1.0178486108779907
26,2006-08-31,23,0.7256519496440887
26,2006-08-31,24,0.545784056186676
26,2006-08-31,25,0.70362988114357
26,2006-08-31,26,0.7326061427593231
26,2006-08-31,27,0.525517612695694
26,2006-08-31,28,0.39243998378515244
26,2006-08-31,29,0.31843026727437973
26,2006-08-31,30,0.38326551020145416
26,2006-08-31,31,0.2915426045656204
26,2006-08-31,32,0.22882060706615448
26,2006-08-31,33,0.5309537649154663
26,2006-08-31,34,0.457140251994133
26,2006-08-31,35,0.5458783209323883
26,2006-08-31,36,0.4311639666557312
26,2006-08-31,37,0.1971176601946354
26,2006-08-31,38,0.1763562485575676
26,2006-08-31,39,0.19235503673553467
26,2006-08-31,40,0.19915703684091568
26,2006-08-31,41,0.4243899881839752
26,2006-08-31,42,0.43356043100357056
26,2006-08-31,43,0.5048836246132851
26,2006-08-31,44,0.607465386390686
26,2006-08-31,45,0.8449907898902893
26,2006-08-31,46,0.6098366528749466
26,2006-08-31,47,0.5335283055901527
26,2006-08-31,48,0.5674514472484589
26,2006-08-31,49,0.6286506056785583
26,2006-08-31,50,0.7913641035556793
26,2006-08-31,51,1.2235590815544128
26,2006-08-31,52,1.7649809122085571
27,2006-11-30,1,59.12832069396973
27,2006-11-30,2,36.31472635269165
27,2006-11-30,3,24.216958045959473
27,2006-11-30,4,13.31372857093811
27,2006-11-30,5,11.408272743225098
27,2006-11-30,6,10.420909404754639
27,2006-11-30,7,8.009142398834229
27,2006-11-30,8,7.06939435005188
27,2006-11-30,9,5.546298265457153
27,2006-11-30,10,4.677257299423218
27,2006-11-30,11,4.554865837097168
27,2006-11-30,12,4.5010364055633545
27,2006-11-30,13,4.443589210510254
27,2006-11-30,14,4.429384231567383
27,2006-11-30,15,3.8736369609832764
27,2006-11-30,16,3.1554640531539917
27,2006-11-30,17,3.3330025672912598
27,2006-11-30,18,4.3827595710754395
27,2006-11-30,19,5.07356333732605
27,2006-11-30,20,4.210834264755249
27,2006-11-30,21,6.579935550689697
27,2006-11-30,22,5.888766884803772
27,2006-11-30,23,4.367520093917847
27,2006-11-30,24,5.003631353378296
27,2006-11-30,25,4.949113517999649
27,2006-11-30,26,3.666889786720276
27,2006-11-30,27,4.102996826171875
27,2006-11-30,28,2.9813830852508545
27,2006-11-30,29,4.268539309501648
27,2006-11-30,30,3.22158020734787
27,2006-11-30,31,5.50861918926239
27,2006-11-30,32,5.519506454467773
27,2006-11-30,33,4.704111635684967
27,2006-11-30,34,2.7570908069610596
27,2006-11-30,35,2.154683470726013
27,2006-11-30,36,2.3176549673080444
27,2006-11-30,37,1.8832754790782928
27,2006-11-30,38,1.9579439163208008
27,2006-11-30,39,1.6907581686973572
27,2006-11-30,40,1.4216671586036682
27,2006-11-30,41,1.0762146711349487
27,2006-11-30,42,2.590582698583603
27,2006-11-30,43,3.1708750128746033
27,2006-11-30,44,6.978953242301941
27,2006-11-30,45,5.353992521762848
27,2006-11-30,46,8.257409930229187
27,2006-11-30,47,8.663837134838104
27,2006-11-30,48,9.225060105323792
27,2006-11-30,49,8.800160259008408
27,2006-11-30,50,7.070018291473389
27,2006-11-30,51,4.510634213685989
27,2006-11-30,52,3.48555988073349
27,2006-11-30,53,2.9254308938980103
27,2006-11-30,54,2.2729443311691284
28,2007-02-28,1,64.96905326843262
28,2007-02-28,2,45.02663040161133
28,2007-02-28,3,30.762640953063965
28,2007-02-28,4,19.792978763580322
28,2007-02-28,5,13.706407070159912
28,2007-02-28,6,8.994828701019287
28,2007-02-28,7,5.47724187374115
28,2007-02-28,8,4.420848250389099
28,2007-02-28,9,3.1809340715408325
28,2007-02-28,10,2.7186732292175293
28,2007-02-28,11,2.3768901228904724
28,2007-02-28,12,2.12984961271286
28,2007-02-28,13,1.6377044916152954
28,2007-02-28,14,1.4191114902496338
28,2007-02-28,15,1.28339684009552
28,2007-02-28,16,1.0647500157356262
28,2007-02-28,17,0.9111937284469604
28,2007-02-28,18,0.6921749711036682
28,2007-02-28,19,0.5977885574102402
28,2007-02-28,20,0.576833039522171
28,2007-02-28,21,0.4768863022327423
28,2007-02-28,22,0.35379502177238464
28,2007-02-28,23,0.31258541345596313
28,2007-02-28,24,0.3329058140516281
28,2007-02-28,25,0.43513837456703186
28,2007-02-28,26,0.3538462519645691
28,2007-02-28,27,0.249684140086174
28,2007-02-28,28,0.2311144322156906
28,2007-02-28,29,0.20476943999528885
28,2007-02-28,30,0.18354050815105438
28,2007-02-28,31,0.17571493610739708
28,2007-02-28,32,0.07997174561023712
28,2007-02-28,33,0.1276981644332409
28,2007-02-28,34,0.09711089730262756
28,2007-02-28,35,0.05621093139052391
28,2007-02-28,36,0.08126978203654289
28,2007-02-28,37,0.1130646001547575
28,2007-02-28,38,0.08652219921350479
28,2007-02-28,39,0.18166125565767288
28,2007-02-28,40,0.07168284058570862
28,2007-02-28,41,0.18290573358535767
28,2007-02-28,42,0.13553602620959282
28,2007-02-28,43,0.10302698146551847
28,2007-02-28,44,0.19971400126814842
28,2007-02-28,45,0.18421175330877304
28,2007-02-28,46,0.17765992879867554
28,2007-02-28,47,0.10698501020669937
28,2007-02-28,48,0.20009495317935944
28,2007-02-28,49,0.1787792704999447
28,2007-02-28,50,0.10277968272566795
28,2007-02-28,51,0.05019321106374264
28,2007-02-28,52,0.07204471901059151
28,2007-02-28,53,0.05847087688744068
28,2007-02-28,54,0.059112981893122196
28,2007-02-28,55,0.1094183549284935
28,2007-02-28,56,0.0851474441587925
29,2007-05-31,1,36.58321189880371
29,2007-05-31,2,22.50130558013916
29,2007-05-31,3,15.660862445831299
29,2007-05-31,4,10.944337368011475
29,2007-05-31,5,8.304733276367188
29,2007-05-31,6,5.949430704116821
29,2007-05-31,7,4.343551158905029
29,2007-05-31,8,3.6468425989151
29,2007-05-31,9,3.108060121536255
29,2007-05-31,10,2.4219011068344116
29,2007-05-31,11,1.7328140139579773
29,2007-05-31,12,1.4798925518989563
29,2007-05-31,13,1.245017170906067
29,2007-05-31,14,2.2252058386802673
29,2007-05-31,15,3.71407687664032
29,2007-05-31,16,3.925573170185089
29,2007-05-31,17,4.546122908592224
29,2007-05-31,18,5.241193771362305
29,2007-05-31,19,4.517088413238525
29,2007-05-31,20,3.8640363812446594
29,2007-05-31,21,2.834530234336853
29,2007-05-31,22,2.153310000896454
29,2007-05-31,23,1.4776421785354614
29,2007-05-31,24,1.0538385510444641
29,2007-05-31,25,0.7837342321872711
29,2007-05-31,26,0.48421449959278107
29,2007-05-31,27,0.4321742355823517
29,2007-05-31,28,0.47724899649620056
29,2007-05-31,29,0.45992228388786316
29,2007-05-31,30,0.35101403295993805
29,2007-05-31,31,0.28611838817596436
29,2007-05-31,32,0.2108801081776619
29,2007-05-31,33,0.14979426935315132
29,2007-05-31,34,0.18256252259016037
29,2007-05-31,35,0.1492191068828106
29,2007-05-31,36,0.16644801944494247
29,2007-05-31,37,0.19076261669397354
29,2007-05-31,38,0.1637012641876936
29,2007-05-31,39,0.11571616679430008
29,2007-05-31,40,0.1453954614698887
29,2007-05-31,41,0.14371464401483536
