nowcast_date,y_true,y_pred
2005-02-28,4.413020211694629,1.8754109144210815
2005-05-31,1.965660123449453,3.5477073192596436
2005-08-31,3.1230326804525532,1.8757516145706177
2005-11-30,2.215916948830454,-1.5991250276565552
2006-02-28,5.345655379085201,-1.2218177318572998
2006-05-31,1.0336742995598058,1.7066357135772705
2006-08-31,0.5993744160321057,1.813183069229126
2006-11-30,3.423110226166415,-3.0125086307525635
2007-02-28,1.2015362468524415,1.7318389415740967
2007-05-31,2.439593165872367,0.2076091170310974
2007-08-31,2.2974924437228594,2.2024128437042236
2007-11-30,2.5050862048779265,-6.181042194366455
2008-02-29,-1.7107102360128579,8.737187385559082
2008-05-31,2.3746503725263324,2.9155921936035156
2008-08-31,-2.1065695211134994,-3.167419195175171
2008-11-30,-8.853365095794175,-17.36900520324707
2009-02-28,-4.565452543960902,0.2617471218109131
2009-05-31,-0.715242887051204,-2.6319010257720947
2009-08-31,1.402308618855841,0.6854608654975891
2009-11-30,4.300454151697863,-0.959758996963501
2010-02-28,1.933324088271604,-0.2219381332397461
2010-05-31,3.8517399290434184,1.565051794052124
2010-08-31,3.072509082001318,3.6971275806427
2010-11-30,2.094945457780284,2.923478126525879
2011-02-28,-0.9499466944198787,4.326366901397705
2011-05-31,2.697214987466623,-1.2998740673065186
2011-08-31,-0.0892609023139812,9.712418556213379
2011-11-30,4.467158724585829,1.7983287572860718
2012-02-29,3.340376727516059,-2.1731269359588623
2012-05-31,1.7813665065290252,-0.6530659198760986
2012-08-31,0.5756975059448166,3.0591461658477783
2012-11-30,0.46229496630019185,3.2965967655181885
2013-02-28,3.926903706206275,2.641055107116699
2013-05-31,1.0691153060548686,2.022676944732666
2013-08-31,3.3911586209988798,5.762653350830078
2013-11-30,3.47185609530527,6.176930904388428
2014-02-28,-1.3827712598640574,1.733208417892456
2014-05-31,5.1342760916597285,1.9671697616577148
2014-08-31,4.832259330312638,1.601298213005066
2014-11-30,2.0178344061733355,3.930783748626709
2015-02-28,3.5858191507699644,7.902812957763672
2015-05-31,2.469978633014591,8.390644073486328
2015-08-31,1.5977848462760846,2.047717332839966
2015-11-30,0.7372366908420247,1.0594731569290161
2016-02-29,2.311386607388499,2.975564956665039
2016-05-31,1.2824382650691746,4.28627347946167
2016-08-31,2.827543676441735,2.1150150299072266
2016-11-30,2.2110741144842905,4.277029514312744
2017-02-28,1.9428349324144278,4.1375932693481445
2017-05-31,2.233244405191215,2.1264429092407227
2017-08-31,3.141726102739284,2.353853225708008
2017-11-30,4.48297110775755,4.655068874359131
2018-02-28,3.2404778196678308,2.5004563331604004
2018-05-31,2.11768492150739,2.0042877197265625
2018-08-31,2.487041930090328,2.8692362308502197
2018-11-30,0.5661759932735322,-1.4096002578735352
2019-02-28,2.4895091629069555,3.457047939300537
2019-05-31,3.326711173158259,1.4576988220214844
2019-08-31,4.6528410323638525,1.7157198190689087
2019-11-30,2.7182543872214637,-1.9776642322540283
2020-02-29,-5.300247883186415,1.3684930801391602
2020-05-31,-32.81728241610793,10.791593551635742
2020-08-31,29.902998544979198,8.302556991577148
2020-11-30,4.508555862817332,7.505851745605469
2021-02-28,5.544658613895592,2.999100923538208
2021-05-31,6.750285416705282,3.735588550567627
2021-08-31,3.2866716567674814,3.5961785316467285
2021-11-30,6.804809235885756,2.8527650833129883
2022-02-28,-1.0204951651815009,8.636838912963867
2022-05-31,0.6256983803410776,9.498656272888184
2022-08-31,2.877225330117028,-0.3424837589263916
2022-11-30,2.7514765401292607,3.482060432434082
2023-02-28,2.884974679699326,-0.03140997886657715
2023-05-31,2.503636219206129,3.377285957336426
2023-08-31,4.5880109584366835,3.4209702014923096
2023-11-30,3.3620596105876643,3.152966260910034
2024-02-29,0.8385657658578793,1.8102670907974243
2024-05-31,3.5263554170946065,0.656786322593689
2024-08-31,3.2855812596196188,7.461510181427002
2024-11-30,1.8352819713321367,-0.39121365547180176
